epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,199507,0.96968,0.63059,0.96958,0.7084,0.45772,0.48071,0.31718,0.90162,0.54307,0.9543,0.006304,0.006304,0.006304
114,201276,0.96987,0.63131,0.97052,0.70936,0.45702,0.48038,0.31709,0.90138,0.54295,0.9542,0.006271,0.006271,0.006271
115,203034,0.96929,0.62947,0.96872,0.70951,0.45758,0.48075,0.31752,0.90111,0.5425,0.954,0.006238,0.006238,0.006238
116,204808,0.96924,0.62973,0.96817,0.70491,0.45992,0.48115,0.3184,0.90096,0.54235,0.95403,0.006205,0.006205,0.006205
117,206583,0.96767,0.62801,0.96676,0.70076,0.46155,0.48157,0.31924,0.90068,0.54172,0.95397,0.006172,0.006172,0.006172
118,208358,0.96628,0.62626,0.96729,0.70784,0.45724,0.48188,0.31965,0.90051,0.54134,0.95406,0.006139,0.006139,0.006139
119,210127,0.96536,0.62506,0.9673,0.71072,0.45406,0.48231,0.31979,0.90012,0.54107,0.95397,0.006106,0.006106,0.006106
120,211894,0.96504,0.62443,0.96614,0.71868,0.45248,0.48271,0.32005,0.90003,0.54071,0.95399,0.006073,0.006073,0.006073
121,213655,0.96688,0.6256,0.96715,0.7202,0.45088,0.4835,0.3207,0.89963,0.5403,0.95391,0.00604,0.00604,0.00604
122,215424,0.96488,0.62298,0.96521,0.7008,0.46077,0.48372,0.32108,0.89936,0.5398,0.95368,0.006007,0.006007,0.006007
123,217190,0.9638,0.62326,0.96593,0.70603,0.45795,0.48401,0.3215,0.89916,0.53963,0.95359,0.005974,0.005974,0.005974
124,218963,0.96583,0.62317,0.96565,0.70822,0.45887,0.4844,0.32139,0.89892,0.53943,0.95338,0.005941,0.005941,0.005941
125,220725,0.96354,0.62123,0.96516,0.71266,0.45858,0.48536,0.32193,0.89861,0.53917,0.95316,0.005908,0.005908,0.005908
126,222499,0.96275,0.62029,0.96566,0.73257,0.44963,0.48488,0.32201,0.89826,0.53891,0.95307,0.005875,0.005875,0.005875
127,224275,0.95885,0.61858,0.96485,0.73077,0.4519,0.48561,0.32249,0.89803,0.53839,0.95303,0.005842,0.005842,0.005842
128,226050,0.96279,0.61986,0.96439,0.73647,0.45019,0.48638,0.32327,0.89803,0.53824,0.95306,0.005809,0.005809,0.005809
129,227819,0.958,0.6173,0.96249,0.73722,0.44966,0.48643,0.32378,0.89783,0.53805,0.95311,0.005776,0.005776,0.005776
130,229587,0.96001,0.61739,0.96356,0.73294,0.45191,0.48641,0.3242,0.89777,0.53803,0.95312,0.005743,0.005743,0.005743
131,231347,0.9574,0.61554,0.96272,0.72163,0.45603,0.48617,0.32388,0.89763,0.5377,0.95295,0.00571,0.00571,0.00571
132,233103,0.9586,0.61677,0.96247,0.7212,0.45831,0.48607,0.3241,0.89736,0.53776,0.95269,0.005677,0.005677,0.005677
133,234859,0.95816,0.61595,0.96246,0.72674,0.45543,0.48689,0.32457,0.89716,0.53755,0.95247,0.005644,0.005644,0.005644
