epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,14306.3,0.69301,0.39248,0.92745,0.88015,0.90163,0.93735,0.69471,0.8713,0.46486,0.99973,0.003367,0.003367,0.003367
69,14505.7,0.68859,0.38909,0.92919,0.88537,0.90737,0.93765,0.70276,0.87066,0.45959,1.00052,0.003268,0.003268,0.003268
70,14703,0.68384,0.38909,0.9255,0.87861,0.90797,0.93642,0.70298,0.86687,0.46052,1.00075,0.003169,0.003169,0.003169
71,14905.5,0.67673,0.38495,0.9219,0.8836,0.89999,0.93527,0.70216,0.86569,0.45946,1.00072,0.00307,0.00307,0.00307
72,15107.9,0.67625,0.38134,0.92282,0.89053,0.89283,0.93528,0.69915,0.86268,0.45744,0.99893,0.002971,0.002971,0.002971
73,15310.1,0.67475,0.38093,0.92026,0.86855,0.90637,0.93777,0.70162,0.86267,0.4599,0.99728,0.002872,0.002872,0.002872
74,15510.1,0.66305,0.37387,0.9199,0.8921,0.88517,0.93652,0.70487,0.86178,0.45766,0.9963,0.002773,0.002773,0.002773
75,15725,0.66092,0.37456,0.9155,0.89823,0.8878,0.93646,0.70381,0.85999,0.45872,0.99704,0.002674,0.002674,0.002674
76,15927.5,0.65978,0.373,0.91601,0.8939,0.89242,0.93757,0.70971,0.86108,0.45915,1.0003,0.002575,0.002575,0.002575
77,16137,0.65203,0.37046,0.91548,0.90097,0.88846,0.94064,0.711,0.85872,0.45761,0.99974,0.002476,0.002476,0.002476
78,16349.4,0.64704,0.36732,0.9113,0.90641,0.89297,0.94157,0.71232,0.85625,0.45726,0.99846,0.002377,0.002377,0.002377
79,16571.6,0.64791,0.36211,0.90799,0.90876,0.88123,0.94174,0.7149,0.8559,0.45754,0.9978,0.002278,0.002278,0.002278
80,16787.6,0.64376,0.36247,0.91038,0.89326,0.8873,0.94038,0.71101,0.8545,0.45408,0.99768,0.002179,0.002179,0.002179
81,16994,0.6433,0.36343,0.90973,0.90298,0.89207,0.94229,0.71542,0.85357,0.45389,0.99786,0.00208,0.00208,0.00208
82,17215.4,0.63069,0.35663,0.90635,0.90955,0.88226,0.94146,0.71575,0.85361,0.45478,0.99767,0.001981,0.001981,0.001981
83,17424,0.62728,0.3555,0.90557,0.91461,0.87826,0.93982,0.71552,0.85242,0.45391,0.99757,0.001882,0.001882,0.001882
84,17630.1,0.62938,0.35353,0.9005,0.91016,0.88584,0.94315,0.71636,0.85188,0.45452,0.9969,0.001783,0.001783,0.001783
85,17850.3,0.62235,0.35184,0.90392,0.9096,0.88412,0.941,0.71406,0.84895,0.45343,0.99631,0.001684,0.001684,0.001684
86,18056.5,0.62286,0.35105,0.90277,0.91377,0.88075,0.94125,0.71628,0.84806,0.45234,0.99701,0.001585,0.001585,0.001585
87,18259.9,0.62017,0.34813,0.90014,0.90937,0.88475,0.94045,0.71805,0.84747,0.45188,0.99771,0.001486,0.001486,0.001486
88,18481.3,0.6146,0.3462,0.89792,0.9083,0.88512,0.93976,0.71964,0.8464,0.45176,0.99695,0.001387,0.001387,0.001387
89,18695.8,0.61224,0.3447,0.89696,0.90792,0.88919,0.93837,0.71938,0.84653,0.45316,0.99751,0.001288,0.001288,0.001288
90,18901.8,0.60506,0.34009,0.89496,0.90468,0.89126,0.93956,0.71934,0.8462,0.45391,0.99743,0.001189,0.001189,0.001189
91,19143.4,0.60923,0.32346,0.85919,0.91378,0.88391,0.94083,0.72276,0.84721,0.45382,0.99802,0.00109,0.00109,0.00109
92,19364.2,0.59674,0.31502,0.85494,0.91035,0.89132,0.94178,0.72479,0.84609,0.45305,0.99792,0.000991,0.000991,0.000991
93,19579.7,0.59286,0.31316,0.85278,0.92203,0.88653,0.94278,0.72522,0.84525,0.45229,0.99804,0.000892,0.000892,0.000892
94,19800.7,0.58626,0.31059,0.85208,0.92668,0.88992,0.94206,0.72591,0.84462,0.45222,0.99886,0.000793,0.000793,0.000793
95,20018.6,0.58027,0.30649,0.84876,0.92431,0.89237,0.94207,0.72662,0.84385,0.45227,0.99955,0.000694,0.000694,0.000694
96,20234.4,0.57594,0.3048,0.84744,0.92561,0.8915,0.94203,0.72657,0.84344,0.4526,0.99999,0.000595,0.000595,0.000595
97,20433.9,0.5709,0.30015,0.84693,0.91942,0.89322,0.94222,0.72807,0.84226,0.45248,0.99992,0.000496,0.000496,0.000496
98,20640.9,0.56514,0.29736,0.84506,0.92078,0.89408,0.9424,0.72795,0.84164,0.45247,1.00014,0.000397,0.000397,0.000397
99,20844,0.56337,0.2974,0.84278,0.9212,0.89453,0.94238,0.72871,0.84142,0.45253,1.00052,0.000298,0.000298,0.000298
100,21062.2,0.5611,0.295,0.84269,0.92285,0.89291,0.94231,0.72975,0.84102,0.45277,1.00078,0.000199,0.000199,0.000199
